invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
576228,23245,SET OF 3 REGENCY CAKE TINS,2,2011-11-14T13:12:00.000000,4.95,15033,United Kingdom
576228,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3,2011-11-14T13:12:00.000000,2.95,15033,United Kingdom
576228,22306,SILVER MUG BONE CHINA TREE OF LIFE,6,2011-11-14T13:12:00.000000,1.06,15033,United Kingdom
576228,21265,PINK GOOSE FEATHER TREE 60CM,2,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,2,2011-11-14T13:12:00.000000,0.85,15033,United Kingdom
576228,22754,SMALL RED BABUSHKA NOTEBOOK ,2,2011-11-14T13:12:00.000000,0.85,15033,United Kingdom
576228,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,2,2011-11-14T13:12:00.000000,0.85,15033,United Kingdom
576228,22065,CHRISTMAS PUDDING TRINKET POT ,2,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,21986,PACK OF 12 PINK POLKADOT TISSUES,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,21981,PACK OF 12 WOODLAND TISSUES ,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,23377,PACK OF 12 DOLLY GIRL TISSUES,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,23551,PACK OF 12 PAISLEY PARK TISSUES ,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,22616,PACK OF 12 LONDON TISSUES ,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,2,2011-11-14T13:12:00.000000,0.65,15033,United Kingdom
576228,23367,SET 12 COLOUR PENCILS SPACEBOY ,2,2011-11-14T13:12:00.000000,0.65,15033,United Kingdom
576228,23365,SET 12 COLOUR PENCILS LOVE LONDON,2,2011-11-14T13:12:00.000000,0.65,15033,United Kingdom
576228,20975,12 PENCILS SMALL TUBE RED RETROSPOT,2,2011-11-14T13:12:00.000000,0.65,15033,United Kingdom
576228,20973,12 PENCIL SMALL TUBE WOODLAND,2,2011-11-14T13:12:00.000000,0.65,15033,United Kingdom
576228,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-11-14T13:12:00.000000,6.95,15033,United Kingdom
576228,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-11-14T13:12:00.000000,8.95,15033,United Kingdom
576228,22306,SILVER MUG BONE CHINA TREE OF LIFE,6,2011-11-14T13:12:00.000000,1.06,15033,United Kingdom
576228,85212,MINI PAINTED GARDEN DECORATION ,12,2011-11-14T13:12:00.000000,0.29,15033,United Kingdom
576228,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,2011-11-14T13:12:00.000000,2.1,15033,United Kingdom
576228,22211,WOOD STAMP SET FLOWERS,1,2011-11-14T13:12:00.000000,0.83,15033,United Kingdom
576228,22208,WOOD STAMP SET THANK YOU,1,2011-11-14T13:12:00.000000,0.83,15033,United Kingdom
576228,22209,WOOD STAMP SET HAPPY BIRTHDAY,1,2011-11-14T13:12:00.000000,0.83,15033,United Kingdom
576228,22210,WOOD STAMP SET BEST WISHES,1,2011-11-14T13:12:00.000000,0.83,15033,United Kingdom
576228,22382,LUNCH BAG SPACEBOY DESIGN ,1,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,20728,LUNCH BAG CARS BLUE,1,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,22142,CHRISTMAS CRAFT WHITE FAIRY ,3,2011-11-14T13:12:00.000000,1.45,15033,United Kingdom
576228,23084,RABBIT NIGHT LIGHT,3,2011-11-14T13:12:00.000000,2.08,15033,United Kingdom
576228,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,17003,BROCADE RING PURSE ,36,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,23570,TRADITIONAL PICK UP STICKS GAME ,1,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,23571,TRADITIONAL NAUGHTS & CROSSES,1,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2,2011-11-14T13:12:00.000000,2.55,15033,United Kingdom
576228,85178,VICTORIAN SEWING KIT,7,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,21156,RETROSPOT CHILDRENS APRON,1,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,47591D,PINK FAIRY CAKE CHILDRENS APRON,2,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,22898,CHILDRENS APRON APPLES DESIGN,3,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,22899,CHILDREN'S APRON DOLLY GIRL ,2,2011-11-14T13:12:00.000000,2.1,15033,United Kingdom
576228,22096,PINK PAISLEY SQUARE TISSUE BOX ,2,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,22097,SWALLOW SQUARE TISSUE BOX,1,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,22098,BOUDOIR SQUARE TISSUE BOX,2,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,22620,4 TRADITIONAL SPINNING TOPS,2,2011-11-14T13:12:00.000000,1.45,15033,United Kingdom
576228,21891,TRADITIONAL WOODEN SKIPPING ROPE,3,2011-11-14T13:12:00.000000,1.45,15033,United Kingdom
576228,22466,FAIRY TALE COTTAGE NIGHT LIGHT,4,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,22383,LUNCH BAG SUKI DESIGN ,1,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,23206,LUNCH BAG APPLE DESIGN,1,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,22144,CHRISTMAS CRAFT LITTLE FRIENDS,3,2011-11-14T13:12:00.000000,2.1,15033,United Kingdom
576228,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,4,2011-11-14T13:12:00.000000,2.55,15033,United Kingdom
576228,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,4,2011-11-14T13:12:00.000000,2.95,15033,United Kingdom
576228,23571,TRADITIONAL NAUGHTS & CROSSES,2,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,23570,TRADITIONAL PICK UP STICKS GAME ,4,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,23503,PLAYING CARDS KEEP CALM & CARRY ON,2,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,23505,PLAYING CARDS I LOVE LONDON ,2,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,23570,TRADITIONAL PICK UP STICKS GAME ,1,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,23571,TRADITIONAL NAUGHTS & CROSSES,3,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,22150,3 STRIPEY MICE FELTCRAFT,2,2011-11-14T13:12:00.000000,1.95,15033,United Kingdom
576228,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,2011-11-14T13:12:00.000000,1.25,15033,United Kingdom
576228,22065,CHRISTMAS PUDDING TRINKET POT ,2,2011-11-14T13:12:00.000000,0.39,15033,United Kingdom
576228,22906,12 MESSAGE CARDS WITH ENVELOPES,3,2011-11-14T13:12:00.000000,1.65,15033,United Kingdom
576228,21918,SET 12 KIDS COLOUR  CHALK STICKS,6,2011-11-14T13:12:00.000000,0.42,15033,United Kingdom
576228,21916,SET 12 RETRO WHITE CHALK STICKS,6,2011-11-14T13:12:00.000000,0.42,15033,United Kingdom
576228,85227,SET OF 6 3D KIT CARDS FOR KIDS,6,2011-11-14T13:12:00.000000,0.85,15033,United Kingdom
576228,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-11-14T13:12:00.000000,0.95,15033,United Kingdom
